,name,ra,dec,redshift,dm_exgal,repeater
0,FRB20121102A,82.99458875,33.14793156,0.19273,369.6719,True
1,FRB20171020A,333.8272917,-19.66978611,0.00867,77.463,False
2,FRB20180301A,93.22683333,4.67105556,0.33044,384.2768,True
3,FRB20180916B,29.50312571,65.71675422,0.0337,149.8023,True
4,FRB20180924A,326.1052292,-40.90002778,0.3212,321.6627,False
5,FRB20181030A,158.5963,73.765,0.0039,62.4265,True
6,FRB20181112A,327.3484583,-52.97094444,0.4755,547.5504,False
7,FRB20190102C,322.4156667,-79.47569444,0.2912,307.1454,False
8,FRB20190520B,240.517775,-11.288147,0.241,1150.0867,True
9,FRB20190523A,207.065,72.46972222,0.66,723.622,False
10,FRB20190608B,334.019875,-7.89825,0.1177805,302.7803,False
11,FRB20190611B,320.7455833,-79.39758333,0.3778,274.8024,False
12,FRB20190711A,329.41925,-80.358,0.52172,531.4126,True
13,FRB20190714A,183.9797083,-13.021,0.2365,465.6388,False
14,FRB20191001A,323.3513042,-54.74773889,0.234,463.7257,False
15,FRB20191228A,344.4304167,-29.59408333,0.243,265.0534,False
16,FRB20200120E,149.4778333,68.81888889,0.0008,47.1452,True
17,FRB20200430A,229.7064167,12.37675,0.161,352.8178,False
18,FRB20200906A,53.49616667,-14.08318333,0.3688,542.0034,False
19,FRB20201123A,263.67,-50.76,0.0507,181.8377,False
20,FRB20201124A,77.01461542,26.06069556,0.0982,271.0503,True
21,FRB20210117A,339.979229,-16.151514,0.2145,694.5743,False
22,FRB20210320C,204.458692,-16.122683,0.2797,345.305,False
23,FRB20210410D,326.08625,-79.318194,0.1415,518.8068,False
24,FRB20210807D,299.221433,-0.762361,0.12927,130.1304,False
25,FRB20211127I,199.808667,-18.8379722,0.0469,192.499,False
26,FRB20211203C,204.562417,-31.380333,0.34386,571.2724,False
27,FRB20211212A,157.350667,1.360464,0.0707,170.248,False
28,FRB20220105A,208.804208,22.466056,0.2785,557.9621,False
29,FRB20220610A,351.073204,-33.513714,1.015,1427.0,False
